Stationid,Stationname En,Exitid,Exitname Zh Tw,Exitposition Positionlon,Exitposition Positionlat,layer,stationid,exitid,groovy code,,,"exit """
BL09,Jiangzicui,3,江子翠站出口3,121.472156,25.029459,,TaiwanStation_JiangZiCuiJiangzicui,TaiwanStation_JiangZiCuiJiangzicui_3,"exit ""TaiwanStation_JiangZiCuiJiangzicui_3"" with { short_name ""3"" coords { lat 121.472156; lon 25.029459 } layer 0 }",,,
BL09,Jiangzicui,4,江子翠站出口4,121.472719,25.029763,,TaiwanStation_JiangZiCuiJiangzicui,TaiwanStation_JiangZiCuiJiangzicui_4,"exit ""TaiwanStation_JiangZiCuiJiangzicui_4"" with { short_name ""4"" coords { lat 121.472719; lon 25.029763 } layer 0 }",,,
BL09,Jiangzicui,5,江子翠站出口5,121.473609,25.031027,,TaiwanStation_JiangZiCuiJiangzicui,TaiwanStation_JiangZiCuiJiangzicui_5,"exit ""TaiwanStation_JiangZiCuiJiangzicui_5"" with { short_name ""5"" coords { lat 121.473609; lon 25.031027 } layer 0 }",,,
BL09,Jiangzicui,6,江子翠站出口6,121.473126,25.031095,,TaiwanStation_JiangZiCuiJiangzicui,TaiwanStation_JiangZiCuiJiangzicui_6,"exit ""TaiwanStation_JiangZiCuiJiangzicui_6"" with { short_name ""6"" coords { lat 121.473126; lon 25.031095 } layer 0 }",,,
BL10,Longshan Temple,1,龍山寺站出口1,121.49953,25.035484,,TaiwanStation_LongShanSiLongshanTemple,TaiwanStation_LongShanSiLongshanTemple_1,"exit ""TaiwanStation_LongShanSiLongshanTemple_1"" with { short_name ""1"" coords { lat 121.49953; lon 25.035484 } layer 0 }",,,
BL10,Longshan Temple,2,龍山寺站出口2,121.499798,25.035109,,TaiwanStation_LongShanSiLongshanTemple,TaiwanStation_LongShanSiLongshanTemple_2,"exit ""TaiwanStation_LongShanSiLongshanTemple_2"" with { short_name ""2"" coords { lat 121.499798; lon 25.035109 } layer 0 }",,,
BL10,Longshan Temple,3,龍山寺站出口3,121.501622,25.035421,,TaiwanStation_LongShanSiLongshanTemple,TaiwanStation_LongShanSiLongshanTemple_3,"exit ""TaiwanStation_LongShanSiLongshanTemple_3"" with { short_name ""3"" coords { lat 121.501622; lon 25.035421 } layer 0 }",,,
BL11,Ximen,1,西門站出口1,121.507566,25.042137,,TaiwanStation_XiMenXimen,TaiwanStation_XiMenXimen_1,"exit ""TaiwanStation_XiMenXimen_1"" with { short_name ""1"" coords { lat 121.507566; lon 25.042137 } layer 0 }",,,
BL11,Ximen,2,西門站出口2,121.508435,25.041545,,TaiwanStation_XiMenXimen,TaiwanStation_XiMenXimen_2,"exit ""TaiwanStation_XiMenXimen_2"" with { short_name ""2"" coords { lat 121.508435; lon 25.041545 } layer 0 }",,,
BL11,Ximen,3,西門站出口3,121.508888,25.041789,,TaiwanStation_XiMenXimen,TaiwanStation_XiMenXimen_3,"exit ""TaiwanStation_XiMenXimen_3"" with { short_name ""3"" coords { lat 121.508888; lon 25.041789 } layer 0 }",,,
