stationid,kind,id,layer
TaiwanStation_ShiPaiShipai,facility,TaiwanStation_ShiPaiShipai_TicketGate_Concourse_2,0
TaiwanStation_MingDeMingde,facility,TaiwanStation_MingDeMingde_TicketGate_Concourse_1,0
TaiwanStation_MingDeMingde,facility,TaiwanStation_MingDeMingde_TicketGate_Concourse_2,0
TaiwanStation_ZhiShanZhishan,facility,TaiwanStation_ZhiShanZhishan_TicketGate_Concourse_1,0
TaiwanStation_ZhiShanZhishan,facility,TaiwanStation_ZhiShanZhishan_TicketGate_Concourse_2,0
TaiwanStation_HongShuLinHongshulin,facility,TaiwanStation_HongShuLinHongshulin_TicketGate_Concourse_1,0
TaiwanStation_HongShuLinHongshulin,facility,TaiwanStation_HongShuLinHongshulin_TicketGate_Concourse_2,0
TaiwanStation_ZhuWeiZhuwei,facility,TaiwanStation_ZhuWeiZhuwei_TicketGate_Concourse_1,0
TaiwanStation_ZhuWeiZhuwei,facility,TaiwanStation_ZhuWeiZhuwei_TicketGate_Concourse_2,0
TaiwanStation_QiYanQiyan,facility,TaiwanStation_QiYanQiyan_TicketGate_Concourse_1,0
TaiwanStation_BeiTouBeitou,facility,TaiwanStation_BeiTouBeitou_TicketGate_Concourse_1,0
TaiwanStation_BeiTouBeitou,facility,TaiwanStation_BeiTouBeitou_TicketGate_Concourse_2,0
TaiwanStation_ShuangLianShuanglian,facility,TaiwanStation_ShuangLianShuanglian_TicketGate_Concourse_1,-1
TaiwanStation_ShuangLianShuanglian,facility,TaiwanStation_ShuangLianShuanglian_TicketGate_Concourse_2,-1
TaiwanStation_TaiDaYiYuanNtuHospital,facility,TaiwanStation_TaiDaYiYuanNtuHospital_TicketGate_Concourse_1,-1
TaiwanStation_TaiDaYiYuanNtuHospital,facility,TaiwanStation_TaiDaYiYuanNtuHospital_TicketGate_Concourse_2,-1
TaiwanStation_DaAnSenLinGongYuanDaanPark,facility,TaiwanStation_DaAnSenLinGongYuanDaanPark_TicketGate_Concourse_1,-1
TaiwanStation_DaAnSenLinGongYuanDaanPark,facility,TaiwanStation_DaAnSenLinGongYuanDaanPark_TicketGate_Concourse_2,-1
TaiwanStation_XinYiAnHeXinyiAnhe,facility,TaiwanStation_XinYiAnHeXinyiAnhe_TicketGate_Concourse_1,-1
TaiwanStation_XinYiAnHeXinyiAnhe,facility,TaiwanStation_XinYiAnHeXinyiAnhe_TicketGate_Concourse_2,-1
TaiwanStation_TaiBei101ShiMaoTaipei101WorldTradeCenter,facility,TaiwanStation_TaiBei101ShiMaoTaipei101WorldTradeCenter_TicketGate_Concourse_1,-1
TaiwanStation_TaiBei101ShiMaoTaipei101WorldTradeCenter,facility,TaiwanStation_TaiBei101ShiMaoTaipei101WorldTradeCenter_TicketGate_Concourse_2,-1
TaiwanStation_XiangShanXiangshan,facility,TaiwanStation_XiangShanXiangshan_TicketGate_Concourse_1,-1
TaiwanStation_XiangShanXiangshan,facility,TaiwanStation_XiangShanXiangshan_TicketGate_Concourse_2,-1
TaiwanStation_FuXingGangFuxinggang,facility,TaiwanStation_FuXingGangFuxinggang_TicketGate_Concourse_1,0
TaiwanStation_FuXingGangFuxinggang,facility,TaiwanStation_FuXingGangFuxinggang_TicketGate_Overpass_2,1
TaiwanStation_ZhongYiZhongyi,facility,TaiwanStation_ZhongYiZhongyi_TicketGate_Concourse_1,0
TaiwanStation_ZhongYiZhongyi,facility,TaiwanStation_ZhongYiZhongyi_TicketGate_Concourse_2,0
TaiwanStation_GuanDuGuandu,facility,TaiwanStation_GuanDuGuandu_TicketGate_Concourse_1,0
TaiwanStation_GuanDuGuandu,facility,TaiwanStation_GuanDuGuandu_TicketGate_Concourse_2,0
TaiwanStation_DanShuiTamsui,facility,TaiwanStation_DanShuiTamsui_TicketGate_Concourse_1,0
TaiwanStation_DanShuiTamsui,facility,TaiwanStation_DanShuiTamsui_TicketGate_Concourse_2,0
TaiwanStation_DanShuiTamsui,facility,TaiwanStation_DanShuiTamsui_TicketGate_Concourse_3,0
TaiwanStation_XinBeiTouXinbeitou,facility,TaiwanStation_XinBeiTouXinbeitou_TicketGate_Concourse_1,0
TaiwanStation_XinBeiTouXinbeitou,facility,TaiwanStation_XinBeiTouXinbeitou_TicketGate_Concourse_2,0
TaiwanStation_GangQiGangqian,facility,TaiwanStation_GangQiGangqian_TicketGate_2F_1,1
TaiwanStation_GangQiGangqian,facility,TaiwanStation_GangQiGangqian_TicketGate_2F_2,1
TaiwanStation_XiHuXihu,facility,TaiwanStation_XiHuXihu_TicketGate_3F_1,2
TaiwanStation_XiHuXihu,facility,TaiwanStation_XiHuXihu_TicketGate_3F_2,2
TaiwanStation_JianNanLuJiannanRd,facility,TaiwanStation_JianNanLuJiannanRd_TicketGate_2F_1,1
TaiwanStation_JianNanLuJiannanRd,facility,TaiwanStation_JianNanLuJiannanRd_TicketGate_2F_2,1
TaiwanStation_DaZhiDazhi,facility,TaiwanStation_DaZhiDazhi_TicketGate_B1_1,-1
TaiwanStation_SongShanJiChangSongshanAirport,facility,TaiwanStation_SongShanJiChangSongshanAirport_TicketGate_B2_1,-2
TaiwanStation_SongShanJiChangSongshanAirport,waypoint,TaiwanStation_SongShanJiChangSongshanAirport_Concourse_B1_1,-1
TaiwanStation_SongShanJiChangSongshanAirport,waypoint,TaiwanStation_SongShanJiChangSongshanAirport_Concourse_B3_1,-3
TaiwanStation_SongShanJiChangSongshanAirport,waypoint,TaiwanStation_SongShanJiChangSongshanAirport_Concourse_B3_2,-3
TaiwanStation_ZhongShanGuoZhongZhongshanJuniorHighSchool,facility,TaiwanStation_ZhongShanGuoZhongZhongshanJuniorHighSchool_TicketGate_2F_1,1
TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_3F,2
